Region,Country Code,Country Name,Agricultural land (% of land area),Agricultural land (sq. km),Armed forces personnel (% of total labor force),"Armed forces personnel, total",Average precipitation in depth (mm per year),"Birth rate, crude (per 1,000 people)","Current education expenditure, total (% of total expenditure in public institutions)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"Current health expenditure per capita, PPP (current international $)",Forest area (% of land area),Forest area (sq. km),GDP (current US$),GDP per capita (current US$),"GDP per capita, PPP (current international $)","International tourism, receipts (% of total exports)","Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)",Mobile cellular subscriptions (per 100 people),Number of deaths ages 20-24 years,Population in largest city,Population in the largest city (% of urban population),"Population, total"
Oceania,AUS,Australia,48,"3,718,370",0,"58,000",534,13,,10,"5,816","5,136",17,"1,340,174","1,326,516,328,532","53,936","48,400",15,83,,108,690,"4,708,150",22,"24,594,202"
East & Southeast Asia,BRN,Brunei Darussalam,3,134,4,"8,000","2,722",16,,2,640,"1,366",72,"3,800","12,128,104,859","28,187","60,173",3,75,,127,17,,,"430,276"
East & Southeast Asia,CHN,China,56,"5,285,121",0,"2,695,000",645,13,,5,441,712,23,"2,143,395","12,310,409,370,893","8,817","14,244",,77,,104,"46,293","24,862,075",3,"1,396,215,000"
Oceania,FJI,Fiji,17,"3,142",1,"4,000","2,592",21,,3,186,409,61,"11,200","5,353,404,419","5,825","12,822",50,68,,113,99,,,"919,019"
Oceania,FSM,"Micronesia, Fed. Sts.",31,220,,,,21,,12,405,379,92,643,"366,666,800","3,320","3,522",,71,,21,15,,,"110,430"
East & Southeast Asia,IDN,Indonesia,33,"623,000",1,"676,000","2,702",18,,3,112,318,50,"939,498","1,015,618,742,566","3,840","10,942",8,70,,165,"22,833","10,401,144",7,"264,498,852"
East & Southeast Asia,JPN,Japan,12,"44,440",0,"261,000","1,668",8,89,11,"4,148","4,427",68,"249,350","4,930,837,369,151","38,834","41,444",4,84,,136,"2,119","37,397,437",32,"126,972,000"
East & Southeast Asia,KHM,Cambodia,32,"56,520",2,"191,000","1,904",21,,6,80,227,48,"85,354","22,177,200,512","1,401","3,973",25,71,,117,"1,361","1,892,615",52,"15,830,689"
Oceania,KIR,Kiribati,42,340,,,,29,,11,166,226,1,12,"188,192,060","1,564","1,962",18,67,,38,21,,,"120,362"
East & Southeast Asia,KOR,"Korea, Rep.",17,"16,767",2,"634,000","1,274",7,85,7,"2,239","2,902",65,"63,170","1,623,901,496,836","31,617","40,957",3,83,,124,"1,123","9,941,235",24,"51,361,911"
East & Southeast Asia,LAO,Lao PDR,10,"22,569",5,"129,000","1,834",24,,3,62,182,72,"166,990","17,071,162,084","2,439","7,211",12,67,,53,"1,062","657,108",27,"6,997,917"
Oceania,MHL,Marshall Islands,48,86,,,,22,,14,646,569,52,94,"212,701,200","4,508","4,635",19,64,,34,5,,,"47,187"
East & Southeast Asia,MMR,Myanmar,20,"130,536",2,"513,000","2,091",18,80,5,59,219,45,"294,130","61,449,392,056","1,175","4,313",15,66,,92,"5,448","5,053,341",32,"52,288,341"
East & Southeast Asia,MNG,Mongolia,73,"1,134,672",1,"18,000",241,24,91,4,146,451,9,"141,761","11,480,847,745","3,708","11,431",7,70,,126,232,"1,466,589",69,"3,096,030"
East & Southeast Asia,MYS,Malaysia,26,"85,710",1,"136,000","2,875",16,92,4,371,963,59,"192,645","319,112,175,612","9,980","25,935",9,75,95,132,"2,115","7,318,545",30,"31,975,806"
Oceania,NRU,Nauru,20,4,,,,30,,11,"1,093","1,350",0,0,"109,359,680","9,361","11,747",10,63,,86,1,,,"11,682"
Oceania,NZL,New Zealand,40,"106,440",0,"9,000","1,732",12,,9,"3,904","3,839",37,"98,509","206,623,758,800","42,925","42,219",19,82,,135,184,"1,525,666",37,"4,813,600"
East & Southeast Asia,PHL,Philippines,42,"125,850",0,"153,000","2,348",23,,4,122,317,24,"70,839","328,480,867,143","3,077","8,002",10,72,,112,"11,575","13,271,721",27,"106,738,501"
Oceania,PLW,Palau,9,43,,,,12,,12,"1,945","2,157",89,412,"285,600,000","16,012","17,595",93,,,,5,,,"17,837"
Oceania,PNG,Papua New Guinea,3,"11,900",0,"4,000","3,142",27,,2,56,88,79,"359,564","22,742,613,554","2,495","3,967",0,65,,44,"1,489","359,441",30,"9,114,796"
East & Southeast Asia,PRK,"Korea, Dem. People's Rep.",22,"26,050",10,"1,469,000","1,054",14,,,,,51,"60,938",,,,,73,,15,"2,154","3,015,132",19,"25,516,321"
East & Southeast Asia,SGP,Singapore,1,7,2,"81,000","2,497",9,,4,"2,599","4,051",23,161,"343,193,352,162","61,151","95,310",3,83,97,145,108,"5,708,844",100,"5,612,253"
Oceania,SLB,Solomon Islands,4,"1,170",,,"3,028",32,,4,95,108,90,"25,252","1,469,787,256","2,284","2,625",13,70,,72,66,,,"643,634"
East & Southeast Asia,THA,Thailand,44,"227,100",1,"455,000","1,622",10,,4,248,655,39,"199,810","456,356,961,443","6,437","17,008",19,78,,171,"6,933","9,898,653",28,"70,898,202"
East & Southeast Asia,TLS,Timor-Leste,23,"3,416",0,"2,000","1,500",26,,7,87,212,62,"9,256","1,595,724,261","1,284","3,138",66,68,,125,375,,,"1,243,235"
Oceania,TON,Tonga,49,350,,,,24,,5,213,304,12,90,"460,379,145","4,367","6,257",48,71,,102,10,,,"105,415"
Oceania,TUV,Tuvalu,60,18,,,,23,,16,660,720,33,10,"45,217,658","4,176","4,209",,64,,74,1,,,"10,828"
East & Southeast Asia,VNM,Vietnam,39,"121,688",1,"522,000","1,821",16,,5,141,427,46,"144,154","281,353,625,688","2,992","9,051",4,74,,128,"5,701","7,870,501",24,"94,033,048"
Oceania,VUT,Vanuatu,15,"1,870",,,"2,000",31,99,3,84,84,36,"4,423","880,062,103","3,032","3,031",84,70,,79,33,,,"290,239"
Oceania,WSM,Samoa,22,620,,,"2,880",29,,5,217,334,59,"1,631","884,847,176","4,262","6,239",60,73,,60,16,,,"207,630"
Europe,ALB,Albania,43,"11,743",1,"9,000","1,485",11,92,7,296,834,29,"7,889","13,019,689,337","4,531","12,771",49,79,,126,108,"466,651",27,"2,873,457"
Europe,AND,Andorra,40,188,,,,,99,7,"2,910","3,762",34,160,"3,000,180,750","40,632",,,,,109,2,,,"73,837"
West Asia & North Africa,ARM,Armenia,59,"16,761",3,"49,000",562,14,88,10,419,"1,296",12,"3,291","11,527,458,566","4,042","12,510",28,75,100,122,140,"1,077,299",60,"2,851,923"
Europe,AUT,Austria,32,"26,546",0,"21,000","1,110",10,93,10,"4,939","5,641",47,"38,884","417,261,151,845","47,429","54,173",10,82,,123,193,"1,878,456",37,"8,797,566"
West Asia & North Africa,AZE,Azerbaijan,58,"47,775",2,"82,000",447,15,99,4,152,516,13,"10,972","40,865,558,912","4,147","14,121",16,72,100,101,528,"2,258,971",41,"9,854,033"
Europe,BEL,Belgium,44,"13,270",1,"32,000",847,11,95,11,"4,762","5,435",23,"6,893","502,764,720,556","44,198","50,442",2,81,,100,257,"2,033,713",18,"11,375,158"
Europe,BGR,Bulgaria,46,"50,295",1,"31,000",608,9,96,7,625,"1,603",36,"38,540","59,199,447,421","8,366","21,470",12,75,,119,209,"1,266,840",24,"7,075,947"
Europe,BIH,Bosnia and Herzegovina,44,"22,280",1,"11,000","1,028",9,,9,470,"1,198",43,"21,879","18,080,118,186","5,256","13,400",13,77,,100,109,"342,509",21,"3,440,027"
Europe,BLR,Belarus,42,"84,940",3,"155,000",618,11,94,6,325,"1,030",43,"87,241","54,726,595,249","5,786","18,356",3,74,,118,299,"1,984,675",27,"9,458,989"
Europe,CHE,Switzerland,38,"15,130",0,"21,000","1,537",10,,11,"9,606","7,964",32,"12,588","695,200,833,086","82,254","69,104",4,84,,131,146,"1,356,037",22,"8,451,840"
West Asia & North Africa,CYP,Cyprus,13,"1,214",3,"16,000",498,11,92,7,"1,773","2,558",19,"1,726","22,946,726,164","26,697","38,415",19,81,,136,33,,,"1,208,523"
Europe,CZE,Czechia,46,"35,210",0,"23,000",677,11,91,7,"1,525","2,870",35,"26,717","218,628,940,952","20,636","38,825",4,79,,120,256,"1,284,162",16,"10,594,438"
Europe,DEU,Germany,48,"166,870",0,"180,000",700,10,93,11,"5,065","6,020",33,"114,190","3,690,849,152,518","44,653","53,071",3,81,,133,"1,410","3,539,234",6,"82,657,002"
Europe,DNK,Denmark,66,"26,313",1,"15,000",703,11,93,10,"5,834","5,606",16,"6,256","332,121,063,806","57,610","55,357",5,81,,124,111,"1,303,974",26,"5,764,980"
Europe,ESP,Spain,53,"262,955",1,"196,000",636,8,95,9,"2,525","3,543",37,"185,593","1,313,245,330,198","28,185","39,529",,83,,113,591,"6,403,902",17,"46,593,236"
Europe,EST,Estonia,23,"9,820",1,"6,000",626,11,91,7,"1,350","2,234",57,"24,384","26,924,385,103","20,438","33,822",10,78,,145,36,"429,990",47,"1,317,384"
Europe,FIN,Finland,7,"22,700",1,"25,000",536,9,91,9,"4,236","4,342",74,"224,090","255,647,979,916","46,412","47,570",5,82,,130,177,"1,259,875",27,"5,508,214"
Europe,FRA,France,52,"286,975",1,"307,000",867,12,92,11,"4,412","5,071",31,"170,028","2,595,151,045,198","38,781","44,577",8,83,,108,"1,391","10,844,847",20,"66,918,020"
Europe,GBR,United Kingdom,72,"174,662",0,"148,000","1,220",11,97,10,"3,930","4,461",13,"31,640","2,683,399,006,716","40,621","46,372",,81,,120,"1,542","8,916,251",16,"66,058,859"
West Asia & North Africa,GEO,Georgia,34,"23,848",1,"26,000","1,026",15,,7,304,948,41,"28,224","16,242,916,916","4,357","13,590",39,74,99,146,203,"1,077,597",50,"3,728,004"
Europe,GRC,Greece,47,"60,535",3,"146,000",652,8,88,8,"1,510","2,324",30,"39,018","199,844,406,014","18,582","28,605",27,81,,121,225,"3,157,451",37,"10,754,679"
Europe,HRV,Croatia,27,"14,970",1,"18,000","1,113",9,96,7,903,"1,798",35,"19,316","56,323,836,170","13,656","27,207",38,78,,103,100,"685,942",29,"4,124,531"
Europe,HUN,Hungary,58,"53,030",1,"40,000",589,10,90,7,984,"1,986",23,"20,573","143,112,196,040","14,621","29,501",7,76,,102,233,"1,754,955",25,"9,787,966"
Europe,IRL,Ireland,65,"44,890",0,"9,000","1,118",13,95,7,"5,010","5,583",11,"7,700","336,377,500,161","69,971","77,749",4,82,,103,97,"1,188,418",39,"4,807,388"
Europe,ISL,Iceland,19,"18,720",0,0,"1,940",12,95,8,"5,945","4,593",0,494,"24,728,285,177","72,010","55,638",,83,,117,8,,,"343,400"
Europe,ITA,Italy,43,"128,266",1,"347,000",832,8,98,9,"2,810","3,605",32,"94,047","1,961,796,197,354","32,407","41,581",8,83,,140,896,"4,177,286",10,"60,536,709"
Central Asia,KAZ,Kazakhstan,80,"2,162,137",1,"71,000",250,22,96,3,278,747,1,"33,670","166,805,800,596","9,248","24,863",4,73,,146,"1,186","1,772,779",17,"18,037,776"
Central Asia,KGZ,Kyrgyz Republic,55,"105,401",1,"21,000",533,25,85,6,78,316,7,"12,607","7,702,934,800","1,243","5,047",19,71,,138,451,"975,889",44,"6,198,200"
Europe,LIE,Liechtenstein,33,53,,,,9,,,,,42,67,"6,474,256,119","170,874",,,84,,122,,,,"37,889"
Europe,LTU,Lithuania,47,"29,353",2,"34,000",656,10,95,6,"1,083","2,171",35,"21,960","47,758,736,932","16,885","33,762",,75,,150,132,"534,453",28,"2,828,403"
Europe,LUX,Luxembourg,51,"1,312",1,"2,000",934,10,91,5,"5,713","5,962",34,887,"65,712,180,343","110,193","114,986",4,82,,133,9,,,"596,336"
Europe,LVA,Latvia,31,"19,330",1,"6,000",667,11,89,6,933,"1,704",55,"33,992","30,483,806,018","15,695","28,674",,75,,126,73,"639,982",48,"1,942,248"
Europe,MCO,Monaco,,,,,,,,2,"2,852","3,168",0,0,"6,431,314,957","173,613",,,,,89,1,,,"37,044"
Europe,MDA,Moldova,70,"23,173",1,"7,000",450,14,88,7,244,810,12,"3,865","9,669,741,744","3,510","11,651",14,71,,118,182,"515,129",44,"2,755,189"
Europe,MKD,North Macedonia,50,"12,660",2,"16,000",619,11,,6,345,993,40,"10,015","11,307,058,382","5,450","15,706",5,76,,95,53,"575,931",48,"2,074,502"
Europe,MNE,Montenegro,19,"2,563",4,"12,000",,12,,8,612,"1,546",61,"8,270","4,856,632,399","7,803","19,682",55,76,,165,19,,,"622,373"
Europe,NLD,Netherlands,54,"18,190",0,"41,000",778,10,89,10,"4,935","5,585",11,"3,667","833,869,641,687","48,675","55,089",3,82,,119,300,"1,123,080",7,"17,131,296"
Europe,NOR,Norway,3,"9,851",1,"23,000","1,414",11,87,10,"7,816","6,631",33,"121,566","398,393,955,269","75,497","64,051",5,83,,108,126,"997,451",23,"5,276,968"
Europe,POL,Poland,47,"144,620",1,"191,000",600,11,93,7,910,"1,972",31,"94,470","524,645,833,885","13,816","29,958",5,78,,131,"1,274","1,758,551",8,"37,974,826"
Europe,PRT,Portugal,40,"36,734",1,"52,000",854,8,96,9,"1,998","3,072",36,"33,120","221,357,874,719","21,490","33,045",23,81,,114,180,"2,912,590",44,"10,300,300"
Europe,ROU,Romania,58,"133,780",1,"126,000",637,11,95,5,555,"1,394",30,"69,291","210,146,748,920","10,728","26,943",4,75,,114,566,"1,830,515",17,"19,588,715"
Europe,RUS,Russian Federation,13,"2,154,940",2,"1,454,000",460,12,92,5,580,"1,403",50,"8,153,116","1,574,199,387,071","10,720","25,926",4,72,,156,"7,986","12,288,465",11,"144,496,739"
Europe,SMR,San Marino,38,23,,,,7,100,8,"3,805","4,934",17,10,"1,528,630,707","44,886","58,202",,,,112,0,,,"34,056"
Europe,SRB,Serbia,39,"34,380",1,"32,000",,9,95,8,516,"1,362",31,"27,219","44,179,055,280","6,293","16,611",8,76,,123,190,"1,382,669",35,"7,020,858"
Europe,SVK,Slovak Republic,39,"18,790",1,"16,000",824,11,95,7,"1,189","2,038",40,"19,259","95,649,966,261","17,585","30,062",3,77,,131,163,"427,245",15,"5,439,232"
Europe,SVN,Slovenia,31,"6,150",1,"7,000","1,162",10,93,8,"1,925","2,989",62,"12,439","48,589,100,043","23,514","36,508",8,81,,116,41,,,"2,066,388"
Europe,SWE,Sweden,7,"30,114",1,"30,000",624,12,96,11,"5,838","5,638",69,"279,800","541,018,749,769","53,792","51,948",,82,,124,274,"1,553,180",18,"10,057,698"
